"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 14:50:54.653","96.26%"
"Oct 6, 2021 @ 14:50:53.653","99.75%"
"Oct 6, 2021 @ 14:50:52.654","96.26%"
"Oct 6, 2021 @ 14:50:51.653","99.63%"
"Oct 6, 2021 @ 14:50:50.653","96%"
"Oct 6, 2021 @ 14:50:49.653","99.62%"
"Oct 6, 2021 @ 14:50:48.653","96.49%"
"Oct 6, 2021 @ 14:50:47.653","99.62%"
"Oct 6, 2021 @ 14:50:46.653","93.98%"
"Oct 6, 2021 @ 14:50:45.653","99.74%"
"Oct 6, 2021 @ 14:50:44.657","93.48%"
"Oct 6, 2021 @ 14:50:43.657","99.5%"
"Oct 6, 2021 @ 14:50:42.653","94.7%"
"Oct 6, 2021 @ 14:50:41.653","99.75%"
"Oct 6, 2021 @ 14:50:40.653","95.86%"
"Oct 6, 2021 @ 14:50:39.653","99.63%"
"Oct 6, 2021 @ 14:50:38.653","99.25%"
"Oct 6, 2021 @ 14:50:37.653","94.26%"
"Oct 6, 2021 @ 14:50:36.653","99.87%"
"Oct 6, 2021 @ 14:50:35.653","94.1%"
"Oct 6, 2021 @ 14:50:34.653","100%"
"Oct 6, 2021 @ 14:50:33.653","90.84%"
"Oct 6, 2021 @ 14:50:32.653","99.62%"
"Oct 6, 2021 @ 14:50:31.653","93.35%"
"Oct 6, 2021 @ 14:50:30.653","99.87%"
"Oct 6, 2021 @ 14:50:29.653","91.49%"
"Oct 6, 2021 @ 14:50:28.653","99.63%"
"Oct 6, 2021 @ 14:50:27.653","93.77%"
"Oct 6, 2021 @ 14:50:26.653","99.75%"
"Oct 6, 2021 @ 14:50:25.653","93.87%"
"Oct 6, 2021 @ 14:50:24.655","99.75%"
"Oct 6, 2021 @ 14:50:23.653","93.58%"
"Oct 6, 2021 @ 14:50:22.653","99.49%"
"Oct 6, 2021 @ 14:50:21.653","93.49%"
"Oct 6, 2021 @ 14:50:20.653","99.75%"
"Oct 6, 2021 @ 14:50:19.653","91.08%"
"Oct 6, 2021 @ 14:50:18.653","99.62%"
"Oct 6, 2021 @ 14:50:17.653","90.6%"
"Oct 6, 2021 @ 14:50:16.653","98.75%"
"Oct 6, 2021 @ 14:50:15.653","98.99%"
"Oct 6, 2021 @ 14:50:14.653","88.85%"
"Oct 6, 2021 @ 14:50:13.653","99.62%"
"Oct 6, 2021 @ 14:50:12.653","89.08%"
"Oct 6, 2021 @ 14:50:11.653","99.88%"
"Oct 6, 2021 @ 14:50:10.653","86.86%"
"Oct 6, 2021 @ 14:50:09.653","99.75%"
"Oct 6, 2021 @ 14:50:08.653","89.7%"
"Oct 6, 2021 @ 14:50:07.653","99.49%"
"Oct 6, 2021 @ 14:50:06.653","91.41%"
"Oct 6, 2021 @ 14:50:05.653","99.75%"
"Oct 6, 2021 @ 14:50:04.653","90.34%"
"Oct 6, 2021 @ 14:50:03.653","99.49%"
"Oct 6, 2021 @ 14:50:02.653","88.7%"
"Oct 6, 2021 @ 14:50:01.653","96.64%"
"Oct 6, 2021 @ 14:50:00.653","98.86%"
"Oct 6, 2021 @ 14:49:59.653","90.08%"
"Oct 6, 2021 @ 14:49:58.653","99.37%"
"Oct 6, 2021 @ 14:49:57.657","85.84%"
"Oct 6, 2021 @ 14:49:56.653","99.63%"
"Oct 6, 2021 @ 14:49:55.653","88.8%"
"Oct 6, 2021 @ 14:49:54.653","99.51%"
"Oct 6, 2021 @ 14:49:53.653","85.56%"
"Oct 6, 2021 @ 14:49:52.653","99.75%"
"Oct 6, 2021 @ 14:49:51.653","90.2%"
"Oct 6, 2021 @ 14:49:50.653","95.49%"
"Oct 6, 2021 @ 14:49:49.653","100%"
"Oct 6, 2021 @ 14:49:48.653","99.88%"
"Oct 6, 2021 @ 14:49:47.653","90.16%"
"Oct 6, 2021 @ 14:49:46.653","92.82%"
"Oct 6, 2021 @ 14:49:45.653","99.25%"
"Oct 6, 2021 @ 14:49:44.653","95.84%"
"Oct 6, 2021 @ 14:49:43.661","99.26%"
"Oct 6, 2021 @ 14:49:42.653","97.61%"
"Oct 6, 2021 @ 14:49:41.653","98.26%"
"Oct 6, 2021 @ 14:49:40.653","93.47%"
"Oct 6, 2021 @ 14:49:39.653","99.88%"
"Oct 6, 2021 @ 14:49:38.653","88.02%"
"Oct 6, 2021 @ 14:49:37.653","99.87%"
"Oct 6, 2021 @ 14:49:36.653","79.87%"
"Oct 6, 2021 @ 14:49:35.653","99.49%"
"Oct 6, 2021 @ 14:49:34.653","83.16%"
"Oct 6, 2021 @ 14:49:33.653","99.62%"
"Oct 6, 2021 @ 14:49:32.653","89.07%"
"Oct 6, 2021 @ 14:49:31.653","92.31%"
"Oct 6, 2021 @ 14:49:30.653","100%"
"Oct 6, 2021 @ 14:49:29.653","82.79%"
"Oct 6, 2021 @ 14:49:28.653","99.75%"
"Oct 6, 2021 @ 14:49:27.653","62.93%"
"Oct 6, 2021 @ 14:49:26.653","97.12%"
"Oct 6, 2021 @ 14:49:25.653","100%"
"Oct 6, 2021 @ 14:49:24.653","100%"
"Oct 6, 2021 @ 14:49:23.653","84.61%"
