"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Oct 6, 2021 @ 14:50:54.553","5.26%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:54.263","5.3%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:53.553","6.91%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:53.263","7.83%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:52.553","7.91%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:52.263","9.37%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:51.553","6.89%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:51.263","6.39%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:50.553","9.07%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:50.263","12.69%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:49.553","10.22%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:49.263","5.51%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:48.553","10.1%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:48.263","8.51%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:47.553","7.61%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:47.263","9.77%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:46.553","20.6%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:46.263","19.89%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:45.553","36.75%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:45.263","39.2%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:44.553","38.27%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:44.263","40.11%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:43.553","41.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:43.263","39.79%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:42.553","37.22%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:42.263","40.26%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:41.553","42.65%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:41.263","38.44%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:40.553","36.14%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:40.263","35.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:39.553","44.06%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:39.263","50.76%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:38.553","47.09%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:38.263","52.93%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:37.553","46.21%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:37.263","51.61%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:36.553","45.97%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:36.263","50.77%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:35.553","45.32%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:35.263","53.48%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:34.553","51.26%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:34.263","58.91%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:33.553","49.01%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:33.263","54.92%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:32.553","47.85%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:32.263","52.26%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:31.553","52.58%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:31.263","56.74%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:30.553","48.87%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:30.263","60%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:29.553","54.23%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:50:29.263","54.59%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:50:28.553","44.22%","ip-172-31-8-7"
