timestamp,event
"Oct 6, 2021 @ 14:45:18.027",participantJoined
"Oct 6, 2021 @ 14:45:13.377",participantJoined
"Oct 6, 2021 @ 14:44:52.089",participantJoined
"Oct 6, 2021 @ 14:44:08.289",participantJoined
"Oct 6, 2021 @ 14:44:02.350",participantJoined
"Oct 6, 2021 @ 14:43:42.261",participantJoined
"Oct 6, 2021 @ 14:43:15.751",participantJoined
"Oct 6, 2021 @ 14:42:48.114",participantJoined
"Oct 6, 2021 @ 14:42:21.756",participantJoined
"Oct 6, 2021 @ 14:42:16.535",participantJoined
"Oct 6, 2021 @ 14:42:11.831",participantJoined
"Oct 6, 2021 @ 14:42:09.575",participantJoined
"Oct 6, 2021 @ 14:42:04.294",participantJoined
"Oct 6, 2021 @ 14:41:59.427",participantJoined
"Oct 6, 2021 @ 14:41:54.499",participantJoined
"Oct 6, 2021 @ 14:41:49.899",participantJoined
"Oct 6, 2021 @ 14:41:46.441",participantJoined
"Oct 6, 2021 @ 14:41:46.252",participantJoined
"Oct 6, 2021 @ 14:41:41.245",participantJoined
"Oct 6, 2021 @ 14:41:35.838",participantJoined
"Oct 6, 2021 @ 14:41:31.100",participantJoined
"Oct 6, 2021 @ 14:41:26.315",participantJoined
"Oct 6, 2021 @ 14:41:24.050",participantJoined
"Oct 6, 2021 @ 14:41:18.655",participantJoined
"Oct 6, 2021 @ 14:41:11.103",participantJoined
"Oct 6, 2021 @ 14:41:06.293",participantJoined
"Oct 6, 2021 @ 14:41:01.652",participantJoined
"Oct 6, 2021 @ 14:40:59.406",participantJoined
"Oct 6, 2021 @ 14:40:54.363",participantJoined
"Oct 6, 2021 @ 14:40:49.451",participantJoined
"Oct 6, 2021 @ 14:40:44.724",participantJoined
"Oct 6, 2021 @ 14:40:39.637",participantJoined
"Oct 6, 2021 @ 14:40:36.371",participantJoined
"Oct 6, 2021 @ 14:40:30.122",participantJoined
"Oct 6, 2021 @ 14:40:25.545",participantJoined
"Oct 6, 2021 @ 14:40:20.913",participantJoined
"Oct 6, 2021 @ 14:40:16.240",participantJoined
"Oct 6, 2021 @ 14:40:14.184",participantJoined
"Oct 6, 2021 @ 14:40:09.469",participantJoined
"Oct 6, 2021 @ 14:40:04.632",participantJoined
"Oct 6, 2021 @ 14:39:59.365",participantJoined
"Oct 6, 2021 @ 14:39:54.663",participantJoined
"Oct 6, 2021 @ 14:39:52.756",participantJoined
"Oct 6, 2021 @ 14:39:47.891",participantJoined
"Oct 6, 2021 @ 14:39:43.006",participantJoined
"Oct 6, 2021 @ 14:39:38.263",participantJoined
"Oct 6, 2021 @ 14:39:33.748",participantJoined
"Oct 6, 2021 @ 14:39:31.630",participantJoined
"Oct 6, 2021 @ 14:39:26.932",participantJoined
"Oct 6, 2021 @ 14:39:21.908",participantJoined
"Oct 6, 2021 @ 14:39:17.160",participantJoined
"Oct 6, 2021 @ 14:39:11.851",participantJoined
"Oct 6, 2021 @ 14:39:07.934",participantJoined
"Oct 6, 2021 @ 14:39:01.961",participantJoined
"Oct 6, 2021 @ 14:38:57.134",participantJoined
"Oct 6, 2021 @ 14:38:47.547",participantJoined
"Oct 6, 2021 @ 14:38:43.036",participantJoined
"Oct 6, 2021 @ 14:38:40.534",participantJoined
"Oct 6, 2021 @ 14:38:35.356",participantJoined
"Oct 6, 2021 @ 14:38:30.621",participantJoined
"Oct 6, 2021 @ 14:38:25.816",participantJoined
"Oct 6, 2021 @ 14:38:21.258",participantJoined
"Oct 6, 2021 @ 14:38:19.321",participantJoined
"Oct 6, 2021 @ 14:38:12.723",participantJoined
"Oct 6, 2021 @ 14:38:07.874",participantJoined
"Oct 6, 2021 @ 14:38:03.254",participantJoined
"Oct 6, 2021 @ 14:37:37.898",participantJoined
"Oct 6, 2021 @ 14:37:11.251",participantJoined
"Oct 6, 2021 @ 14:36:45.516",participantJoined
"Oct 6, 2021 @ 14:36:19.741",participantJoined
"Oct 6, 2021 @ 14:36:15.000",participantJoined
"Oct 6, 2021 @ 14:36:12.847",participantJoined
"Oct 6, 2021 @ 14:36:07.995",participantJoined
"Oct 6, 2021 @ 14:36:03.033",participantJoined
"Oct 6, 2021 @ 14:35:58.333",participantJoined
"Oct 6, 2021 @ 14:35:53.537",participantJoined
"Oct 6, 2021 @ 14:35:48.173",participantJoined
"Oct 6, 2021 @ 14:35:43.158",participantJoined
"Oct 6, 2021 @ 14:35:38.228",participantJoined
"Oct 6, 2021 @ 14:35:33.294",participantJoined
"Oct 6, 2021 @ 14:35:28.710",participantJoined
"Oct 6, 2021 @ 14:35:26.807",participantJoined
"Oct 6, 2021 @ 14:35:21.580",participantJoined
"Oct 6, 2021 @ 14:35:16.837",participantJoined
"Oct 6, 2021 @ 14:35:11.163",participantJoined
"Oct 6, 2021 @ 14:35:06.355",participantJoined
"Oct 6, 2021 @ 14:35:04.307",participantJoined
"Oct 6, 2021 @ 14:34:59.538",participantJoined
"Oct 6, 2021 @ 14:34:54.728",participantJoined
"Oct 6, 2021 @ 14:34:50.012",participantJoined
"Oct 6, 2021 @ 14:34:45.496",participantJoined
"Oct 6, 2021 @ 14:34:43.740",participantJoined
"Oct 6, 2021 @ 14:34:37.732",participantJoined
"Oct 6, 2021 @ 14:34:32.123",participantJoined
"Oct 6, 2021 @ 14:34:27.450",participantJoined
"Oct 6, 2021 @ 14:34:22.941",participantJoined
"Oct 6, 2021 @ 14:34:21.118",participantJoined
"Oct 6, 2021 @ 14:34:16.196",participantJoined
"Oct 6, 2021 @ 14:34:11.412",participantJoined
