"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 14:49:05.553","69.11%"
"Oct 6, 2021 @ 14:49:04.553","74.39%"
"Oct 6, 2021 @ 14:49:03.553","70.75%"
"Oct 6, 2021 @ 14:49:02.553","64.315%"
"Oct 6, 2021 @ 14:49:01.553","57.885000000000005%"
"Oct 6, 2021 @ 14:49:00.553","64.07%"
"Oct 6, 2021 @ 14:48:59.553","73.225%"
"Oct 6, 2021 @ 14:48:58.553","64.405%"
"Oct 6, 2021 @ 14:48:57.553","63.935%"
"Oct 6, 2021 @ 14:48:56.553","44.394999999999996%"
"Oct 6, 2021 @ 14:48:55.553","54.175%"
"Oct 6, 2021 @ 14:48:54.553","63.13%"
"Oct 6, 2021 @ 14:48:53.553","66.53999999999999%"
"Oct 6, 2021 @ 14:48:52.553","65.49%"
"Oct 6, 2021 @ 14:48:51.553","65.245%"
"Oct 6, 2021 @ 14:48:50.553","57.864999999999995%"
"Oct 6, 2021 @ 14:48:49.553","61.959999999999994%"
"Oct 6, 2021 @ 14:48:48.553","66.64500000000001%"
"Oct 6, 2021 @ 14:48:47.553","60.545%"
"Oct 6, 2021 @ 14:48:46.553","57.83%"
"Oct 6, 2021 @ 14:48:45.553","60.36%"
"Oct 6, 2021 @ 14:48:44.553","59.864999999999995%"
"Oct 6, 2021 @ 14:48:43.553","77.275%"
"Oct 6, 2021 @ 14:48:42.553","76.41499999999999%"
"Oct 6, 2021 @ 14:48:41.553","75.245%"
"Oct 6, 2021 @ 14:48:40.553","73.1%"
"Oct 6, 2021 @ 14:48:39.553","72.0%"
"Oct 6, 2021 @ 14:48:38.553","72.71000000000001%"
"Oct 6, 2021 @ 14:48:37.553","71.66%"
"Oct 6, 2021 @ 14:48:36.553","64.00999999999999%"
"Oct 6, 2021 @ 14:48:35.553","65.325%"
"Oct 6, 2021 @ 14:48:34.553","70.32%"
"Oct 6, 2021 @ 14:48:33.553","70.70500000000001%"
"Oct 6, 2021 @ 14:48:32.553","68.66999999999999%"
"Oct 6, 2021 @ 14:48:31.553","69.095%"
"Oct 6, 2021 @ 14:48:30.553","70.57%"
"Oct 6, 2021 @ 14:48:29.553","67.17%"
"Oct 6, 2021 @ 14:48:28.553","62.56%"
"Oct 6, 2021 @ 14:48:27.553","66.135%"
"Oct 6, 2021 @ 14:48:26.553","70.38499999999999%"
"Oct 6, 2021 @ 14:48:25.553","71.27%"
"Oct 6, 2021 @ 14:48:24.553","69.535%"
"Oct 6, 2021 @ 14:48:23.553","69.05000000000001%"
"Oct 6, 2021 @ 14:48:22.553","68.605%"
"Oct 6, 2021 @ 14:48:21.553","68.585%"
"Oct 6, 2021 @ 14:48:20.553","60.019999999999996%"
"Oct 6, 2021 @ 14:48:19.553","70.595%"
"Oct 6, 2021 @ 14:48:18.553","69.57%"
"Oct 6, 2021 @ 14:48:17.553","70.75%"
"Oct 6, 2021 @ 14:48:16.553","77.5%"
"Oct 6, 2021 @ 14:48:15.553","77.1%"
"Oct 6, 2021 @ 14:48:14.553","76.235%"
"Oct 6, 2021 @ 14:48:13.553","76.34%"
"Oct 6, 2021 @ 14:48:12.553","77.41499999999999%"
"Oct 6, 2021 @ 14:48:11.553","83.51%"
"Oct 6, 2021 @ 14:48:10.553","79.41%"
"Oct 6, 2021 @ 14:48:09.553","78.82%"
"Oct 6, 2021 @ 14:48:08.553","86.515%"
"Oct 6, 2021 @ 14:48:07.555","84.3%"
"Oct 6, 2021 @ 14:48:06.553","82.54%"
"Oct 6, 2021 @ 14:48:05.553","83.58500000000001%"
"Oct 6, 2021 @ 14:48:04.553","86.41499999999999%"
"Oct 6, 2021 @ 14:48:03.553","86.26499999999999%"
"Oct 6, 2021 @ 14:48:02.553","83.08500000000001%"
"Oct 6, 2021 @ 14:48:01.553","83.16%"
"Oct 6, 2021 @ 14:48:00.553","86.255%"
"Oct 6, 2021 @ 14:47:59.553","84.465%"
"Oct 6, 2021 @ 14:47:58.553","83.985%"
"Oct 6, 2021 @ 14:47:57.553","83.64%"
"Oct 6, 2021 @ 14:47:56.553","84.875%"
"Oct 6, 2021 @ 14:47:55.553","88.7%"
"Oct 6, 2021 @ 14:47:54.553","85.46000000000001%"
"Oct 6, 2021 @ 14:47:53.553","85.43%"
"Oct 6, 2021 @ 14:47:52.553","83.84%"
"Oct 6, 2021 @ 14:47:51.553","87.12%"
"Oct 6, 2021 @ 14:47:50.553","83.855%"
