"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:23:09.226","0.25%"
"Mar 30, 2021 @ 08:23:10.226","1%"
"Mar 30, 2021 @ 08:23:11.226","0.25%"
"Mar 30, 2021 @ 08:23:12.226","1%"
"Mar 30, 2021 @ 08:23:13.226","0.25%"
"Mar 30, 2021 @ 08:23:14.226","7.5%"
"Mar 30, 2021 @ 08:23:15.226","29.15%"
"Mar 30, 2021 @ 08:23:16.226","26.18%"
"Mar 30, 2021 @ 08:23:17.226","8.91%"
"Mar 30, 2021 @ 08:23:18.226","36.75%"
"Mar 30, 2021 @ 08:23:19.226","26.64%"
"Mar 30, 2021 @ 08:23:20.226","38.01%"
"Mar 30, 2021 @ 08:23:21.226","15.58%"
"Mar 30, 2021 @ 08:23:22.226","18.39%"
"Mar 30, 2021 @ 08:23:23.226","23.61%"
"Mar 30, 2021 @ 08:23:24.226","54.62%"
"Mar 30, 2021 @ 08:23:25.226","38.2%"
"Mar 30, 2021 @ 08:23:26.226","37.28%"
"Mar 30, 2021 @ 08:23:27.226","27.76%"
"Mar 30, 2021 @ 08:23:28.226","28.91%"
"Mar 30, 2021 @ 08:23:29.226","29.02%"
"Mar 30, 2021 @ 08:23:30.226","40.37%"
"Mar 30, 2021 @ 08:23:31.226","58.42%"
"Mar 30, 2021 @ 08:23:32.229","54.64%"
"Mar 30, 2021 @ 08:23:33.226","55.85%"
"Mar 30, 2021 @ 08:23:34.226","44.97%"
"Mar 30, 2021 @ 08:23:35.226","49.48%"
"Mar 30, 2021 @ 08:23:36.226","55.73%"
"Mar 30, 2021 @ 08:23:37.229","79.63%"
"Mar 30, 2021 @ 08:23:38.226","68%"
"Mar 30, 2021 @ 08:23:39.226","66.58%"
"Mar 30, 2021 @ 08:23:40.227","52.17%"
"Mar 30, 2021 @ 08:23:41.226","54.03%"
"Mar 30, 2021 @ 08:23:42.226","55.47%"
"Mar 30, 2021 @ 08:23:43.227","53.68%"
"Mar 30, 2021 @ 08:23:44.226","87.11%"
"Mar 30, 2021 @ 08:23:45.226","80.64%"
"Mar 30, 2021 @ 08:23:46.228","81.42%"
"Mar 30, 2021 @ 08:23:47.226","83.42%"
"Mar 30, 2021 @ 08:23:48.227","78.91%"
"Mar 30, 2021 @ 08:23:49.226","79.53%"
"Mar 30, 2021 @ 08:23:50.226","81.3%"
"Mar 30, 2021 @ 08:23:51.227","97.24%"
"Mar 30, 2021 @ 08:23:52.228","99.24%"
"Mar 30, 2021 @ 08:23:53.229","96.99%"
"Mar 30, 2021 @ 08:23:54.227","96.2%"
"Mar 30, 2021 @ 08:23:55.227","96.98%"
"Mar 30, 2021 @ 08:23:56.234","93.65%"
"Mar 30, 2021 @ 08:23:57.230","94.42%"
"Mar 30, 2021 @ 08:23:58.226","95.41%"
