"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:33:16.226","100%"
"Mar 30, 2021 @ 08:33:17.226","100%"
"Mar 30, 2021 @ 08:33:18.226","100%"
"Mar 30, 2021 @ 08:33:19.230","100%"
"Mar 30, 2021 @ 08:33:20.226","100%"
"Mar 30, 2021 @ 08:33:21.249","100%"
"Mar 30, 2021 @ 08:33:22.235","100%"
"Mar 30, 2021 @ 08:33:23.233","100%"
"Mar 30, 2021 @ 08:33:24.234","100%"
"Mar 30, 2021 @ 08:33:25.228","100%"
"Mar 30, 2021 @ 08:33:26.241","100%"
"Mar 30, 2021 @ 08:33:27.227","100%"
"Mar 30, 2021 @ 08:33:28.226","100%"
"Mar 30, 2021 @ 08:33:29.226","100%"
"Mar 30, 2021 @ 08:33:30.226","100%"
"Mar 30, 2021 @ 08:33:31.251","100%"
"Mar 30, 2021 @ 08:33:32.226","100%"
"Mar 30, 2021 @ 08:33:33.226","100%"
"Mar 30, 2021 @ 08:33:34.226","100%"
"Mar 30, 2021 @ 08:33:35.232","100%"
"Mar 30, 2021 @ 08:33:36.226","100%"
"Mar 30, 2021 @ 08:33:37.238","100%"
"Mar 30, 2021 @ 08:33:38.262","100%"
"Mar 30, 2021 @ 08:33:39.230","100%"
"Mar 30, 2021 @ 08:33:40.226","100%"
"Mar 30, 2021 @ 08:33:41.239","100%"
"Mar 30, 2021 @ 08:33:42.248","100%"
"Mar 30, 2021 @ 08:33:43.245","100%"
"Mar 30, 2021 @ 08:33:44.236","100%"
"Mar 30, 2021 @ 08:33:45.247","100%"
"Mar 30, 2021 @ 08:33:46.230","100%"
"Mar 30, 2021 @ 08:33:47.248","100%"
"Mar 30, 2021 @ 08:33:48.226","100%"
"Mar 30, 2021 @ 08:33:49.226","100%"
"Mar 30, 2021 @ 08:33:50.234","100%"
"Mar 30, 2021 @ 08:33:51.234","99.75%"
"Mar 30, 2021 @ 08:33:52.254","100%"
"Mar 30, 2021 @ 08:33:53.245","100%"
"Mar 30, 2021 @ 08:33:54.226","100%"
"Mar 30, 2021 @ 08:33:55.234","100%"
"Mar 30, 2021 @ 08:33:56.226","100%"
"Mar 30, 2021 @ 08:33:57.226","100%"
"Mar 30, 2021 @ 08:33:58.244","100%"
"Mar 30, 2021 @ 08:33:59.226","100%"
"Mar 30, 2021 @ 08:34:00.226","100%"
"Mar 30, 2021 @ 08:34:01.231","100%"
"Mar 30, 2021 @ 08:34:02.242","100%"
"Mar 30, 2021 @ 08:34:03.229","100%"
"Mar 30, 2021 @ 08:34:04.227","100%"
"Mar 30, 2021 @ 08:34:05.242","100%"
"Mar 30, 2021 @ 08:34:06.258","100%"
"Mar 30, 2021 @ 08:34:07.227","100%"
"Mar 30, 2021 @ 08:34:08.244","100%"
"Mar 30, 2021 @ 08:34:09.230","100%"
"Mar 30, 2021 @ 08:34:10.234","100%"
"Mar 30, 2021 @ 08:34:11.235","100%"
"Mar 30, 2021 @ 08:34:12.233","100%"
"Mar 30, 2021 @ 08:34:13.227","100%"
"Mar 30, 2021 @ 08:34:14.246","100%"
"Mar 30, 2021 @ 08:34:15.226","100%"
"Mar 30, 2021 @ 08:34:16.226","100%"
"Mar 30, 2021 @ 08:34:17.229","100%"
"Mar 30, 2021 @ 08:34:18.226","100%"
"Mar 30, 2021 @ 08:34:19.241","100%"
"Mar 30, 2021 @ 08:34:20.228","100%"
"Mar 30, 2021 @ 08:34:21.228","100%"
"Mar 30, 2021 @ 08:34:22.242","100%"
"Mar 30, 2021 @ 08:34:23.235","100%"
"Mar 30, 2021 @ 08:34:24.230","100%"
"Mar 30, 2021 @ 08:34:25.226","100%"
"Mar 30, 2021 @ 08:34:26.227","100%"
"Mar 30, 2021 @ 08:34:27.240","100%"
"Mar 30, 2021 @ 08:34:28.245","100%"
"Mar 30, 2021 @ 08:34:29.226","100%"
"Mar 30, 2021 @ 08:34:30.226","100%"
"Mar 30, 2021 @ 08:34:31.230","100%"
"Mar 30, 2021 @ 08:34:32.230","100%"
"Mar 30, 2021 @ 08:34:33.226","99.5%"
"Mar 30, 2021 @ 08:34:34.226","33.6%"
"Mar 30, 2021 @ 08:34:35.226","21.87%"
"Mar 30, 2021 @ 08:34:36.226","1.76%"
"Mar 30, 2021 @ 08:34:37.226","0.75%"
"Mar 30, 2021 @ 08:34:38.226","0.75%"
"Mar 30, 2021 @ 08:34:39.226","0.25%"
