timestamp,event
2021-10-01 08:28:32.964000,participantJoined
2021-10-01 08:28:58.458000,participantJoined
2021-10-01 08:29:40.618000,participantJoined
2021-10-01 08:30:29.326000,participantJoined
2021-10-01 08:28:22.962000,participantJoined
2021-10-01 08:30:10.661000,participantJoined
2021-10-01 08:28:06.825000,participantJoined
2021-10-01 08:28:14.692000,participantJoined
2021-10-01 08:28:44.797000,participantJoined
2021-10-01 08:29:18.230000,participantJoined
2021-10-01 08:31:31.848000,participantJoined
2021-10-01 08:31:59.982000,participantJoined
