"@timestamp","system.cpu.total.norm.pct"
"Mar 26, 2021 @ 16:22:50.523","45.45%"
"Mar 26, 2021 @ 16:22:51.193","62.97%"
"Mar 26, 2021 @ 16:22:51.524","21.57%"
"Mar 26, 2021 @ 16:22:52.193","55.8%"
"Mar 26, 2021 @ 16:22:52.523","24.05%"
"Mar 26, 2021 @ 16:22:53.193","56.36%"
"Mar 26, 2021 @ 16:22:53.523","23.1%"
"Mar 26, 2021 @ 16:22:54.193","61.97%"
"Mar 26, 2021 @ 16:22:54.523","27.11%"
"Mar 26, 2021 @ 16:22:55.193","58.4%"
"Mar 26, 2021 @ 16:22:55.524","47.76%"
"Mar 26, 2021 @ 16:22:56.193","74%"
"Mar 26, 2021 @ 16:22:56.524","46.23%"
"Mar 26, 2021 @ 16:22:57.193","100%"
"Mar 26, 2021 @ 16:22:57.523","21.63%"
"Mar 26, 2021 @ 16:22:58.193","100%"
"Mar 26, 2021 @ 16:22:58.523","24.69%"
"Mar 26, 2021 @ 16:22:59.193","100%"
"Mar 26, 2021 @ 16:22:59.523","25.95%"
"Mar 26, 2021 @ 16:23:00.193","100%"
"Mar 26, 2021 @ 16:23:00.524","32.06%"
"Mar 26, 2021 @ 16:23:01.193","100%"
"Mar 26, 2021 @ 16:23:01.532","40.15%"
"Mar 26, 2021 @ 16:23:02.193","100%"
"Mar 26, 2021 @ 16:23:02.524","51.67%"
"Mar 26, 2021 @ 16:23:03.193","100%"
"Mar 26, 2021 @ 16:23:03.524","45.37%"
"Mar 26, 2021 @ 16:23:04.193","100%"
"Mar 26, 2021 @ 16:23:04.524","30.51%"
"Mar 26, 2021 @ 16:23:05.193","100%"
"Mar 26, 2021 @ 16:23:05.523","53.23%"
"Mar 26, 2021 @ 16:23:06.193","100%"
"Mar 26, 2021 @ 16:23:06.524","29.18%"
"Mar 26, 2021 @ 16:23:07.193","100%"
"Mar 26, 2021 @ 16:23:07.524","14.86%"
"Mar 26, 2021 @ 16:23:08.205","100%"
"Mar 26, 2021 @ 16:23:08.524","20.96%"
"Mar 26, 2021 @ 16:23:09.193","100%"
"Mar 26, 2021 @ 16:23:09.523","21.63%"
"Mar 26, 2021 @ 16:23:10.194","100%"
"Mar 26, 2021 @ 16:23:10.523","35.28%"
"Mar 26, 2021 @ 16:23:11.195","100%"
"Mar 26, 2021 @ 16:23:11.523","27.82%"
"Mar 26, 2021 @ 16:23:12.193","100%"
"Mar 26, 2021 @ 16:23:12.524","25.77%"
"Mar 26, 2021 @ 16:23:13.193","100%"
"Mar 26, 2021 @ 16:23:13.524","18.75%"
"Mar 26, 2021 @ 16:23:14.193","100%"
"Mar 26, 2021 @ 16:23:14.524","22.84%"
"Mar 26, 2021 @ 16:23:15.193","100%"
"Mar 26, 2021 @ 16:23:15.523","32.92%"
"Mar 26, 2021 @ 16:23:16.193","100%"
"Mar 26, 2021 @ 16:23:16.523","42.42%"
"Mar 26, 2021 @ 16:23:17.193","100%"
"Mar 26, 2021 @ 16:23:17.523","30.45%"
"Mar 26, 2021 @ 16:23:18.193","100%"
"Mar 26, 2021 @ 16:23:18.524","22.22%"
"Mar 26, 2021 @ 16:23:19.193","100%"
"Mar 26, 2021 @ 16:23:19.523","27.23%"
"Mar 26, 2021 @ 16:23:20.193","100%"
"Mar 26, 2021 @ 16:23:20.524","41.24%"
"Mar 26, 2021 @ 16:23:21.193","100%"
"Mar 26, 2021 @ 16:23:21.523","30.85%"
"Mar 26, 2021 @ 16:23:22.193","100%"
"Mar 26, 2021 @ 16:23:22.524","19.54%"
"Mar 26, 2021 @ 16:23:23.193","100%"
"Mar 26, 2021 @ 16:23:23.524","22.02%"
"Mar 26, 2021 @ 16:23:24.193","100%"
"Mar 26, 2021 @ 16:23:24.524","30.48%"
"Mar 26, 2021 @ 16:23:25.193","100%"
"Mar 26, 2021 @ 16:23:25.523","48.33%"
"Mar 26, 2021 @ 16:23:26.206","100%"
"Mar 26, 2021 @ 16:23:26.524","49.75%"
"Mar 26, 2021 @ 16:23:27.193","100%"
"Mar 26, 2021 @ 16:23:27.524","45.29%"
"Mar 26, 2021 @ 16:23:28.193","100%"
