"@timestamp","system.cpu.total.norm.pct"
"Mar 24, 2021 @ 10:09:11.913","3.26%"
"Mar 24, 2021 @ 10:09:12.914","12.5%"
"Mar 24, 2021 @ 10:09:13.913","17.82%"
"Mar 24, 2021 @ 10:09:14.913","20.95%"
"Mar 24, 2021 @ 10:09:15.913","12.25%"
"Mar 24, 2021 @ 10:09:16.914","21.55%"
"Mar 24, 2021 @ 10:09:17.913","11.47%"
"Mar 24, 2021 @ 10:09:18.913","21.16%"
"Mar 24, 2021 @ 10:09:19.914","10.72%"
"Mar 24, 2021 @ 10:09:20.913","21.78%"
"Mar 24, 2021 @ 10:09:21.913","12.5%"
"Mar 24, 2021 @ 10:09:22.913","21.45%"
"Mar 24, 2021 @ 10:09:23.913","12.75%"
"Mar 24, 2021 @ 10:09:24.914","20.5%"
"Mar 24, 2021 @ 10:09:25.913","13.75%"
"Mar 24, 2021 @ 10:09:26.913","23%"
"Mar 24, 2021 @ 10:09:27.913","13.75%"
"Mar 24, 2021 @ 10:09:28.914","21.64%"
"Mar 24, 2021 @ 10:09:29.913","12.41%"
"Mar 24, 2021 @ 10:09:30.913","21.09%"
"Mar 24, 2021 @ 10:09:31.913","15.5%"
"Mar 24, 2021 @ 10:09:32.913","22.06%"
"Mar 24, 2021 @ 10:09:33.913","12.94%"
