"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 29, 2021 @ 11:02:37.052","0.91%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:02:40.006","0.6%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:02:42.052","0.6%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:02:45.006","5.24%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:02:47.052","0.2%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:02:50.005","11.46%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:02:52.052","0.4%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:02:55.006","23.13%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:02:57.052","0.8%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:00.006","44.08%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:02.052","2.11%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:05.006","58.3%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:07.052","3.01%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:10.006","49.38%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:12.052","3.84%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:15.006","41.3%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:17.052","7.34%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:20.005","38.67%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:22.052","17.68%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:25.006","35.3%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:27.052","25.49%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:30.006","35.27%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:32.052","39.38%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:35.005","33.78%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:37.052","49.53%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:40.005","34.16%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:42.052","35.84%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:45.006","34%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:47.052","46.32%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:50.006","34.29%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:52.052","54.28%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:03:55.006","33.62%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:03:57.052","60.35%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:00.006","35.3%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:02.052","76.38%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:05.006","34.56%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:07.052","86.14%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:10.005","35.63%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:12.052","67.31%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:15.005","40.76%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:17.052","61.96%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:20.005","47.6%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:22.052","56.79%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:25.006","60.38%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:27.052","51.95%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:30.007","79.68%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:32.052","54.81%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:35.006","86.48%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:37.052","53.28%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:40.006","84.43%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:42.052","55.31%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:45.006","75.58%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:47.052","61.17%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:50.005","69.71%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:52.052","75.71%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:04:55.005","64.53%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:04:57.052","85.45%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:00.006","64.33%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:02.052","93.51%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:05.006","62.5%","ip-172-31-2-90"
