timestamp,event
2021-09-30 15:54:28.732000,participantJoined
2021-09-30 15:54:47.023000,participantJoined
2021-09-30 15:54:51.535000,participantJoined
2021-09-30 15:54:57.859000,participantJoined
2021-09-30 15:55:49.791000,participantJoined
2021-09-30 15:49:18.064000,participantJoined
2021-09-30 15:49:19.473000,participantJoined
2021-09-30 15:49:23.923000,participantJoined
2021-09-30 15:49:29.980000,participantJoined
2021-09-30 15:49:37.543000,participantJoined
2021-09-30 15:50:00.441000,participantJoined
2021-09-30 15:50:06.437000,participantJoined
2021-09-30 15:50:24.650000,participantJoined
2021-09-30 15:50:26.149000,participantJoined
2021-09-30 15:50:32.312000,participantJoined
2021-09-30 15:50:36.887000,participantJoined
2021-09-30 15:50:38.452000,participantJoined
2021-09-30 15:50:44.587000,participantJoined
2021-09-30 15:50:48.976000,participantJoined
2021-09-30 15:51:06.872000,participantJoined
2021-09-30 15:51:20.671000,participantJoined
2021-09-30 15:51:26.678000,participantJoined
2021-09-30 15:51:31.054000,participantJoined
2021-09-30 15:51:50.785000,participantJoined
2021-09-30 15:51:55.230000,participantJoined
2021-09-30 15:49:12.652000,participantJoined
2021-09-30 15:49:42.058000,participantJoined
2021-09-30 15:49:48.205000,participantJoined
2021-09-30 15:49:49.938000,participantJoined
2021-09-30 15:49:54.327000,participantJoined
2021-09-30 15:49:55.940000,participantJoined
2021-09-30 15:50:01.976000,participantJoined
2021-09-30 15:50:12.513000,participantJoined
2021-09-30 15:50:14.142000,participantJoined
2021-09-30 15:50:20.143000,participantJoined
2021-09-30 15:50:42.935000,participantJoined
2021-09-30 15:51:08.315000,participantJoined
2021-09-30 15:51:19.035000,participantJoined
2021-09-30 15:51:32.688000,participantJoined
2021-09-30 15:51:37.162000,participantJoined
2021-09-30 15:51:38.774000,participantJoined
2021-09-30 15:51:43.169000,participantJoined
2021-09-30 15:51:49.241000,participantJoined
2021-09-30 15:51:56.762000,participantJoined
2021-09-30 15:52:01.154000,participantJoined
2021-09-30 15:52:02.667000,participantJoined
2021-09-30 15:52:07.100000,participantJoined
2021-09-30 15:52:08.474000,participantJoined
2021-09-30 15:52:14.544000,participantJoined
2021-09-30 15:52:44.981000,participantJoined
2021-09-30 15:52:56.911000,participantJoined
2021-09-30 15:53:02.863000,participantJoined
2021-09-30 15:53:08.957000,participantJoined
2021-09-30 15:53:19.536000,participantJoined
2021-09-30 15:53:21.116000,participantJoined
2021-09-30 15:53:25.721000,participantJoined
2021-09-30 15:53:31.782000,participantJoined
2021-09-30 15:53:33.272000,participantJoined
2021-09-30 15:53:43.978000,participantJoined
2021-09-30 15:53:45.590000,participantJoined
2021-09-30 15:51:00.755000,participantJoined
2021-09-30 15:51:02.249000,participantJoined
2021-09-30 15:51:12.722000,participantJoined
2021-09-30 15:51:14.432000,participantJoined
2021-09-30 15:51:25.179000,participantJoined
2021-09-30 15:51:44.750000,participantJoined
2021-09-30 15:52:12.996000,participantJoined
2021-09-30 15:52:18.976000,participantJoined
2021-09-30 15:52:20.573000,participantJoined
2021-09-30 15:52:26.674000,participantJoined
2021-09-30 15:52:32.714000,participantJoined
2021-09-30 15:52:37.240000,participantJoined
2021-09-30 15:52:38.775000,participantJoined
2021-09-30 15:52:43.252000,participantJoined
2021-09-30 15:52:49.403000,participantJoined
2021-09-30 15:52:55.421000,participantJoined
2021-09-30 15:53:07.442000,participantJoined
2021-09-30 15:53:14.979000,participantJoined
2021-09-30 15:53:27.383000,participantJoined
2021-09-30 15:49:25.549000,participantJoined
2021-09-30 15:49:31.618000,participantJoined
2021-09-30 15:49:36.010000,participantJoined
2021-09-30 15:49:43.797000,participantJoined
2021-09-30 15:50:08.027000,participantJoined
2021-09-30 15:50:18.622000,participantJoined
2021-09-30 15:50:30.664000,participantJoined
2021-09-30 15:50:50.409000,participantJoined
2021-09-30 15:50:54.810000,participantJoined
2021-09-30 15:50:56.334000,participantJoined
2021-09-30 15:52:25.135000,participantJoined
2021-09-30 15:52:31.143000,participantJoined
2021-09-30 15:52:50.966000,participantJoined
2021-09-30 15:53:01.281000,participantJoined
2021-09-30 15:53:13.412000,participantJoined
2021-09-30 15:53:37.797000,participantJoined
2021-09-30 15:53:39.445000,participantJoined
2021-09-30 15:53:50.086000,participantJoined
2021-09-30 15:55:16.436000,participantJoined
2021-09-30 15:55:24.369000,participantJoined
2021-09-30 15:55:22.678000,participantJoined
2021-09-30 15:55:18.127000,participantJoined
2021-09-30 15:53:51.724000,participantJoined
2021-09-30 15:53:57.714000,participantJoined
2021-09-30 15:53:56.151000,participantJoined
2021-09-30 15:54:22.688000,participantJoined
2021-09-30 15:54:09.849000,participantJoined
2021-09-30 15:54:15.939000,participantJoined
2021-09-30 15:54:27.166000,participantJoined
2021-09-30 15:54:33.212000,participantJoined
2021-09-30 15:54:34.835000,participantJoined
2021-09-30 15:54:40.840000,participantJoined
2021-09-30 15:54:45.378000,participantJoined
2021-09-30 15:54:53.175000,participantJoined
2021-09-30 15:54:59.421000,participantJoined
2021-09-30 15:55:05.557000,participantJoined
2021-09-30 15:54:39.364000,participantJoined
2021-09-30 15:55:03.954000,participantJoined
2021-09-30 15:54:02.149000,participantJoined
2021-09-30 15:54:03.695000,participantJoined
2021-09-30 15:55:11.951000,participantJoined
2021-09-30 15:54:08.228000,participantJoined
2021-09-30 15:54:14.296000,participantJoined
2021-09-30 15:54:20.534000,participantJoined
2021-09-30 15:55:10.204000,participantJoined
