"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:09:56.019","100%"
"Mar 30, 2021 @ 08:09:57.019","100%"
"Mar 30, 2021 @ 08:09:58.019","100%"
"Mar 30, 2021 @ 08:09:59.019","100%"
"Mar 30, 2021 @ 08:10:00.019","100%"
"Mar 30, 2021 @ 08:10:01.019","100%"
"Mar 30, 2021 @ 08:10:02.019","100%"
"Mar 30, 2021 @ 08:10:03.019","100%"
"Mar 30, 2021 @ 08:10:04.019","100%"
"Mar 30, 2021 @ 08:10:05.019","100%"
"Mar 30, 2021 @ 08:10:06.019","99.75%"
"Mar 30, 2021 @ 08:10:07.019","100%"
"Mar 30, 2021 @ 08:10:08.019","100%"
"Mar 30, 2021 @ 08:10:09.030","100%"
"Mar 30, 2021 @ 08:10:10.019","100%"
"Mar 30, 2021 @ 08:10:11.019","100%"
"Mar 30, 2021 @ 08:10:12.019","100%"
"Mar 30, 2021 @ 08:10:13.019","100%"
"Mar 30, 2021 @ 08:10:14.019","100%"
"Mar 30, 2021 @ 08:10:15.019","100%"
"Mar 30, 2021 @ 08:10:16.019","100%"
"Mar 30, 2021 @ 08:10:17.019","100%"
"Mar 30, 2021 @ 08:10:18.019","100%"
"Mar 30, 2021 @ 08:10:19.019","100%"
"Mar 30, 2021 @ 08:10:20.019","100%"
"Mar 30, 2021 @ 08:10:21.019","100%"
"Mar 30, 2021 @ 08:10:22.019","100%"
"Mar 30, 2021 @ 08:10:23.019","100%"
"Mar 30, 2021 @ 08:10:24.019","100%"
"Mar 30, 2021 @ 08:10:25.019","100%"
"Mar 30, 2021 @ 08:10:26.019","100%"
"Mar 30, 2021 @ 08:10:27.019","100%"
"Mar 30, 2021 @ 08:10:28.019","100%"
"Mar 30, 2021 @ 08:10:29.019","100%"
"Mar 30, 2021 @ 08:10:30.019","100%"
"Mar 30, 2021 @ 08:10:31.019","100%"
"Mar 30, 2021 @ 08:10:32.019","100%"
"Mar 30, 2021 @ 08:10:33.019","100%"
"Mar 30, 2021 @ 08:10:34.019","100%"
"Mar 30, 2021 @ 08:10:35.019","100%"
"Mar 30, 2021 @ 08:10:36.019","100%"
"Mar 30, 2021 @ 08:10:37.019","100%"
"Mar 30, 2021 @ 08:10:38.021","100%"
"Mar 30, 2021 @ 08:10:39.019","100%"
"Mar 30, 2021 @ 08:10:40.019","100%"
"Mar 30, 2021 @ 08:10:41.024","100%"
"Mar 30, 2021 @ 08:10:42.019","100%"
"Mar 30, 2021 @ 08:10:43.019","100%"
"Mar 30, 2021 @ 08:10:44.019","100%"
"Mar 30, 2021 @ 08:10:45.020","100%"
"Mar 30, 2021 @ 08:10:46.019","100%"
"Mar 30, 2021 @ 08:10:47.025","100%"
"Mar 30, 2021 @ 08:10:48.019","100%"
"Mar 30, 2021 @ 08:10:49.019","100%"
"Mar 30, 2021 @ 08:10:50.022","100%"
"Mar 30, 2021 @ 08:10:51.019","100%"
"Mar 30, 2021 @ 08:10:52.020","100%"
"Mar 30, 2021 @ 08:10:53.019","100%"
"Mar 30, 2021 @ 08:10:54.019","100%"
"Mar 30, 2021 @ 08:10:55.019","100%"
"Mar 30, 2021 @ 08:10:56.019","100%"
"Mar 30, 2021 @ 08:10:57.019","100%"
"Mar 30, 2021 @ 08:10:58.019","100%"
"Mar 30, 2021 @ 08:10:59.021","100%"
"Mar 30, 2021 @ 08:11:00.019","100%"
"Mar 30, 2021 @ 08:11:01.023","100%"
"Mar 30, 2021 @ 08:11:02.019","100%"
"Mar 30, 2021 @ 08:11:03.045","100%"
"Mar 30, 2021 @ 08:11:04.019","53.9%"
"Mar 30, 2021 @ 08:11:05.019","21.39%"
"Mar 30, 2021 @ 08:11:06.019","9.25%"
"Mar 30, 2021 @ 08:11:07.019","0.75%"
"Mar 30, 2021 @ 08:11:08.019","0.5%"
"Mar 30, 2021 @ 08:11:09.019","1%"
"Mar 30, 2021 @ 08:11:10.019","1%"
"Mar 30, 2021 @ 08:11:11.019","0.5%"
"Mar 30, 2021 @ 08:11:12.019","1%"
