timestamp,event
2021-10-05 14:06:06.011000,participantJoined
2021-10-05 14:06:47.542000,participantJoined
2021-10-05 14:05:33.384000,participantJoined
2021-10-05 14:05:19.905000,participantJoined
2021-10-05 14:05:48.973000,participantJoined
2021-10-05 14:06:26.200000,participantJoined
2021-10-05 14:07:15.535000,participantJoined
2021-10-05 14:04:52.635000,participantJoined
2021-10-05 14:04:58.562000,participantJoined
2021-10-05 14:04:45.317000,participantJoined
2021-10-05 14:05:09.710000,participantJoined
