"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:19:47.226","100%"
"Mar 30, 2021 @ 08:19:48.242","100%"
"Mar 30, 2021 @ 08:19:49.235","100%"
"Mar 30, 2021 @ 08:19:50.232","100%"
"Mar 30, 2021 @ 08:19:51.226","100%"
"Mar 30, 2021 @ 08:19:52.232","100%"
"Mar 30, 2021 @ 08:19:53.244","100%"
"Mar 30, 2021 @ 08:19:54.238","100%"
"Mar 30, 2021 @ 08:19:55.226","100%"
"Mar 30, 2021 @ 08:19:56.232","100%"
"Mar 30, 2021 @ 08:19:57.242","100%"
"Mar 30, 2021 @ 08:19:58.226","100%"
"Mar 30, 2021 @ 08:19:59.227","100%"
"Mar 30, 2021 @ 08:20:00.229","100%"
"Mar 30, 2021 @ 08:20:01.240","100%"
"Mar 30, 2021 @ 08:20:02.226","100%"
"Mar 30, 2021 @ 08:20:03.226","69.35%"
"Mar 30, 2021 @ 08:20:04.226","21.18%"
"Mar 30, 2021 @ 08:20:05.226","8.04%"
"Mar 30, 2021 @ 08:20:06.226","1%"
"Mar 30, 2021 @ 08:20:07.226","0.25%"
"Mar 30, 2021 @ 08:20:08.226","0.5%"
"Mar 30, 2021 @ 08:20:09.226","0.5%"
"Mar 30, 2021 @ 08:20:10.226","0.5%"
