"@timestamp","system.memory.used.pct","agent.hostname"
"Oct 6, 2021 @ 14:55:27.886","13%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:26.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:26.886","13%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:25.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:25.886","13%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:24.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:24.886","13%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:23.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:23.885","13%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:22.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:22.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:21.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:21.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:20.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:20.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:19.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:19.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:18.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:18.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:17.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:17.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:16.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:16.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:15.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:15.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:14.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:14.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:13.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:13.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:12.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:12.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:11.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:11.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:10.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:10.886","12.99%","ip-172-31-8-7"
"Oct 6, 2021 @ 14:55:09.922","12.9%","ip-172-31-14-6"
"Oct 6, 2021 @ 14:55:09.886","12.99%","ip-172-31-8-7"
