"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 15:48:06.165","86.885%"
"Oct 6, 2021 @ 15:48:05.165","86.725%"
"Oct 6, 2021 @ 15:48:04.165","85.495%"
"Oct 6, 2021 @ 15:48:03.165","88.47%"
"Oct 6, 2021 @ 15:48:02.165","87.235%"
"Oct 6, 2021 @ 15:48:01.165","86.17%"
"Oct 6, 2021 @ 15:48:00.165","90.15%"
"Oct 6, 2021 @ 15:47:59.278","88.255%"
"Oct 6, 2021 @ 15:47:34.165","85.75%"
"Oct 6, 2021 @ 15:47:33.165","89.23%"
"Oct 6, 2021 @ 15:47:32.165","87.09%"
"Oct 6, 2021 @ 15:47:31.165","88.26499999999999%"
"Oct 6, 2021 @ 15:47:30.165","88.87%"
"Oct 6, 2021 @ 15:47:29.165","87.62%"
"Oct 6, 2021 @ 15:47:28.165","87.565%"
"Oct 6, 2021 @ 15:47:27.845","87.515%"
"Oct 6, 2021 @ 15:47:13.165","88.205%"
"Oct 6, 2021 @ 15:47:12.165","89.445%"
"Oct 6, 2021 @ 15:47:11.165","87.97999999999999%"
"Oct 6, 2021 @ 15:47:10.165","88.11%"
"Oct 6, 2021 @ 15:47:09.165","88.94%"
"Oct 6, 2021 @ 15:47:08.165","92.325%"
"Oct 6, 2021 @ 15:47:07.165","96.56%"
"Oct 6, 2021 @ 15:47:06.764","90.55%"
"Oct 6, 2021 @ 15:47:04.165","89.015%"
"Oct 6, 2021 @ 15:47:03.165","89.94999999999999%"
"Oct 6, 2021 @ 15:47:02.165","90.05%"
"Oct 6, 2021 @ 15:47:01.389","88.92%"
"Oct 6, 2021 @ 15:46:45.165","86.775%"
"Oct 6, 2021 @ 15:46:44.165","88.41499999999999%"
"Oct 6, 2021 @ 15:46:43.165","88.755%"
"Oct 6, 2021 @ 15:46:42.165","88.925%"
"Oct 6, 2021 @ 15:46:41.165","89.99000000000001%"
"Oct 6, 2021 @ 15:46:40.165","90.36%"
"Oct 6, 2021 @ 15:46:39.165","89.735%"
"Oct 6, 2021 @ 15:46:38.165","88.97%"
"Oct 6, 2021 @ 15:46:37.165","88.68%"
"Oct 6, 2021 @ 15:46:36.165","89.42500000000001%"
"Oct 6, 2021 @ 15:46:35.165","88.675%"
"Oct 6, 2021 @ 15:46:34.166","89.055%"
"Oct 6, 2021 @ 15:46:33.165","95.57%"
"Oct 6, 2021 @ 15:46:32.165","88.99000000000001%"
"Oct 6, 2021 @ 15:46:31.165","88.59%"
"Oct 6, 2021 @ 15:46:30.165","90.095%"
"Oct 6, 2021 @ 15:46:29.529","89.195%"
"Oct 6, 2021 @ 15:46:06.165","88.725%"
"Oct 6, 2021 @ 15:46:05.165","88.25999999999999%"
"Oct 6, 2021 @ 15:46:04.165","88.275%"
"Oct 6, 2021 @ 15:46:03.166","88.755%"
"Oct 6, 2021 @ 15:46:02.165","89.845%"
"Oct 6, 2021 @ 15:46:02.027","88.735%"
"Oct 6, 2021 @ 15:45:45.165","89.295%"
"Oct 6, 2021 @ 15:45:44.165","88.845%"
"Oct 6, 2021 @ 15:45:43.165","88.89%"
"Oct 6, 2021 @ 15:45:42.474","88.55%"
"Oct 6, 2021 @ 15:45:37.165","89.33000000000001%"
"Oct 6, 2021 @ 15:45:36.165","88.82%"
"Oct 6, 2021 @ 15:45:35.165","88.63%"
"Oct 6, 2021 @ 15:45:34.165","88.08%"
"Oct 6, 2021 @ 15:45:33.165","88.75%"
"Oct 6, 2021 @ 15:45:32.165","87.785%"
"Oct 6, 2021 @ 15:45:31.551","88.88%"
"Oct 6, 2021 @ 15:45:26.165","92.60499999999999%"
"Oct 6, 2021 @ 15:45:25.165","92.41499999999999%"
"Oct 6, 2021 @ 15:45:24.165","90.86%"
"Oct 6, 2021 @ 15:45:23.165","90.52000000000001%"
"Oct 6, 2021 @ 15:45:22.165","89.94%"
"Oct 6, 2021 @ 15:45:21.165","88.82%"
"Oct 6, 2021 @ 15:45:20.165","88.045%"
"Oct 6, 2021 @ 15:45:19.165","88.875%"
"Oct 6, 2021 @ 15:45:18.541","88.355%"
"Oct 6, 2021 @ 15:45:09.165","88.235%"
"Oct 6, 2021 @ 15:45:08.165","86.705%"
"Oct 6, 2021 @ 15:45:07.165","89.015%"
"Oct 6, 2021 @ 15:45:06.165","88.03999999999999%"
"Oct 6, 2021 @ 15:45:05.165","88.745%"
"Oct 6, 2021 @ 15:45:04.165","89.22%"
"Oct 6, 2021 @ 15:45:03.165","86.66499999999999%"
"Oct 6, 2021 @ 15:45:02.844","87.305%"
"Oct 6, 2021 @ 15:44:59.165","86.85499999999999%"
"Oct 6, 2021 @ 15:44:58.165","87.27%"
"Oct 6, 2021 @ 15:44:57.325","87.34%"
"Oct 6, 2021 @ 15:44:36.165","89.69%"
"Oct 6, 2021 @ 15:44:35.165","87.315%"
"Oct 6, 2021 @ 15:44:34.165","86.83500000000001%"
"Oct 6, 2021 @ 15:44:33.866","88.265%"
"Oct 6, 2021 @ 15:44:30.165","86.39500000000001%"
"Oct 6, 2021 @ 15:44:29.166","87.35%"
"Oct 6, 2021 @ 15:44:28.165","87.065%"
"Oct 6, 2021 @ 15:44:27.165","87.68%"
"Oct 6, 2021 @ 15:44:26.165","87.855%"
"Oct 6, 2021 @ 15:44:25.166","88.36%"
"Oct 6, 2021 @ 15:44:24.165","86.58%"
"Oct 6, 2021 @ 15:44:23.165","86.28%"
"Oct 6, 2021 @ 15:44:22.165","88.66%"
"Oct 6, 2021 @ 15:44:21.165","87.765%"
"Oct 6, 2021 @ 15:44:20.165","88.35499999999999%"
"Oct 6, 2021 @ 15:44:19.165","87.99000000000001%"
"Oct 6, 2021 @ 15:44:18.165","88.015%"
"Oct 6, 2021 @ 15:44:17.166","89.56%"
"Oct 6, 2021 @ 15:44:14.165","87.87%"
"Oct 6, 2021 @ 15:44:13.165","86.91%"
"Oct 6, 2021 @ 15:44:12.165","87.91%"
"Oct 6, 2021 @ 15:44:11.165","87.975%"
"Oct 6, 2021 @ 15:44:10.165","88.24000000000001%"
"Oct 6, 2021 @ 15:44:09.165","88.205%"
"Oct 6, 2021 @ 15:44:08.165","88.66%"
"Oct 6, 2021 @ 15:44:07.165","88.12%"
"Oct 6, 2021 @ 15:44:06.165","87.035%"
"Oct 6, 2021 @ 15:43:51.165","88.455%"
"Oct 6, 2021 @ 15:43:50.165","88.02%"
"Oct 6, 2021 @ 15:43:47.165","89.11500000000001%"
"Oct 6, 2021 @ 15:43:46.165","87.895%"
"Oct 6, 2021 @ 15:43:42.165","89.42%"
"Oct 6, 2021 @ 15:43:41.165","86.93%"
"Oct 6, 2021 @ 15:43:40.165","87.975%"
"Oct 6, 2021 @ 15:43:39.165","87.59%"
"Oct 6, 2021 @ 15:43:38.165","88.19%"
"Oct 6, 2021 @ 15:43:37.166","87.82%"
"Oct 6, 2021 @ 15:43:36.165","88.27000000000001%"
"Oct 6, 2021 @ 15:43:35.165","88.42500000000001%"
"Oct 6, 2021 @ 15:43:32.165","88.44%"
"Oct 6, 2021 @ 15:43:31.165","87.785%"
"Oct 6, 2021 @ 15:43:28.165","88.62%"
"Oct 6, 2021 @ 15:43:27.165","88.595%"
"Oct 6, 2021 @ 15:43:24.165","87.555%"
"Oct 6, 2021 @ 15:43:23.165","86.88499999999999%"
"Oct 6, 2021 @ 15:43:22.165","87.875%"
"Oct 6, 2021 @ 15:43:21.165","86.995%"
"Oct 6, 2021 @ 15:43:03.166","86.625%"
"Oct 6, 2021 @ 15:43:02.165","85.685%"
"Oct 6, 2021 @ 15:42:59.165","86.63%"
"Oct 6, 2021 @ 15:42:58.165","87.225%"
"Oct 6, 2021 @ 15:42:54.165","86.065%"
"Oct 6, 2021 @ 15:42:53.165","87.115%"
"Oct 6, 2021 @ 15:42:50.165","87.8%"
"Oct 6, 2021 @ 15:42:49.165","87.36%"
"Oct 6, 2021 @ 15:42:48.165","86.94%"
"Oct 6, 2021 @ 15:42:47.165","87.56%"
"Oct 6, 2021 @ 15:42:46.165","85.44%"
"Oct 6, 2021 @ 15:42:45.165","85.495%"
"Oct 6, 2021 @ 15:42:42.166","88.05%"
"Oct 6, 2021 @ 15:42:41.165","85.965%"
"Oct 6, 2021 @ 15:42:40.165","86.825%"
"Oct 6, 2021 @ 15:42:39.165","84.94%"
"Oct 6, 2021 @ 15:42:27.165","87.53999999999999%"
"Oct 6, 2021 @ 15:42:26.165","87.72%"
"Oct 6, 2021 @ 15:42:17.165","86.305%"
"Oct 6, 2021 @ 15:42:16.165","85.6%"
"Oct 6, 2021 @ 15:42:11.165","87.09%"
"Oct 6, 2021 @ 15:42:10.165","87.5%"
"Oct 6, 2021 @ 15:42:07.165","87.325%"
"Oct 6, 2021 @ 15:42:04.165","86.88%"
"Oct 6, 2021 @ 15:42:03.165","88.775%"
"Oct 6, 2021 @ 15:42:02.165","85.89%"
"Oct 6, 2021 @ 15:42:01.165","85.225%"
"Oct 6, 2021 @ 15:41:58.165","87.22999999999999%"
"Oct 6, 2021 @ 15:41:57.166","87.745%"
"Oct 6, 2021 @ 15:41:50.165","86.515%"
"Oct 6, 2021 @ 15:41:49.165","86.66499999999999%"
"Oct 6, 2021 @ 15:41:46.165","84.28%"
"Oct 6, 2021 @ 15:41:45.165","85.34%"
"Oct 6, 2021 @ 15:41:41.165","86.2%"
"Oct 6, 2021 @ 15:41:40.165","86.58%"
