timestamp,event
2021-10-05 13:59:49.918000,participantJoined
2021-10-05 14:00:01.990000,participantJoined
2021-10-05 14:00:30.538000,participantJoined
2021-10-05 14:00:42.662000,participantJoined
2021-10-05 14:00:56.053000,participantJoined
2021-10-05 14:01:09.381000,participantJoined
2021-10-05 14:01:55.123000,participantJoined
2021-10-05 13:59:43.273000,participantJoined
2021-10-05 13:59:54.171000,participantJoined
2021-10-05 14:00:10.038000,participantJoined
2021-10-05 14:00:20.509000,participantJoined
2021-10-05 13:59:32.810000,participantJoined
2021-10-05 13:59:39.490000,participantJoined
2021-10-05 14:01:22.814000,participantJoined
