timestamp,event
2021-10-05 13:55:11.959000,participantJoined
2021-10-05 13:55:18.674000,participantJoined
2021-10-05 13:55:25.563000,participantJoined
2021-10-05 13:55:32.828000,participantJoined
2021-10-05 13:55:41.643000,participantJoined
2021-10-05 13:56:06.995000,participantJoined
2021-10-05 13:56:25.784000,participantJoined
2021-10-05 13:56:43.759000,participantJoined
2021-10-05 13:56:55.643000,participantJoined
2021-10-05 13:57:10.320000,participantJoined
2021-10-05 13:57:27.154000,participantJoined
2021-10-05 13:57:49.228000,participantJoined
2021-10-05 13:58:35.849000,participantJoined
2021-10-05 13:55:53.156000,participantJoined
