"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 08:59:16.309","55.19%"
"Mar 30, 2021 @ 08:59:17.309","58.6%"
"Mar 30, 2021 @ 08:59:18.309","62.5%"
"Mar 30, 2021 @ 08:59:19.309","58.42%"
"Mar 30, 2021 @ 08:59:20.309","63.98%"
"Mar 30, 2021 @ 08:59:21.309","58.44%"
"Mar 30, 2021 @ 08:59:22.309","57.61%"
"Mar 30, 2021 @ 08:59:23.309","69.02%"
"Mar 30, 2021 @ 08:59:24.309","60%"
"Mar 30, 2021 @ 08:59:25.309","62.56%"
"Mar 30, 2021 @ 08:59:26.309","60.71%"
"Mar 30, 2021 @ 08:59:27.309","63.36%"
"Mar 30, 2021 @ 08:59:28.309","70.38%"
"Mar 30, 2021 @ 08:59:29.309","61.27%"
"Mar 30, 2021 @ 08:59:30.309","65.73%"
"Mar 30, 2021 @ 08:59:31.309","61.22%"
"Mar 30, 2021 @ 08:59:32.309","59.38%"
"Mar 30, 2021 @ 08:59:33.309","59.45%"
"Mar 30, 2021 @ 08:59:34.309","57.97%"
"Mar 30, 2021 @ 08:59:35.309","62.22%"
"Mar 30, 2021 @ 08:59:36.309","65.55%"
"Mar 30, 2021 @ 08:59:37.310","62.34%"
"Mar 30, 2021 @ 08:59:38.309","59.15%"
"Mar 30, 2021 @ 08:59:39.309","58.97%"
"Mar 30, 2021 @ 08:59:40.309","63.96%"
"Mar 30, 2021 @ 08:59:41.309","64.25%"
"Mar 30, 2021 @ 08:59:42.309","62.63%"
"Mar 30, 2021 @ 08:59:43.309","62.53%"
"Mar 30, 2021 @ 08:59:44.309","68.58%"
"Mar 30, 2021 @ 08:59:45.309","63.28%"
"Mar 30, 2021 @ 08:59:46.309","69.35%"
"Mar 30, 2021 @ 08:59:47.309","62.28%"
"Mar 30, 2021 @ 08:59:48.309","65.65%"
"Mar 30, 2021 @ 08:59:49.309","66.08%"
"Mar 30, 2021 @ 08:59:50.309","76.38%"
"Mar 30, 2021 @ 08:59:51.309","73.95%"
"Mar 30, 2021 @ 08:59:52.309","67.67%"
"Mar 30, 2021 @ 08:59:53.309","68.97%"
"Mar 30, 2021 @ 08:59:54.309","73.3%"
"Mar 30, 2021 @ 08:59:55.309","64.27%"
"Mar 30, 2021 @ 08:59:56.309","71.89%"
"Mar 30, 2021 @ 08:59:57.309","65.9%"
"Mar 30, 2021 @ 08:59:58.309","64.97%"
"Mar 30, 2021 @ 08:59:59.309","67.34%"
"Mar 30, 2021 @ 09:00:00.309","66.16%"
"Mar 30, 2021 @ 09:00:01.309","67.97%"
"Mar 30, 2021 @ 09:00:02.309","71.25%"
"Mar 30, 2021 @ 09:00:03.309","68.86%"
"Mar 30, 2021 @ 09:00:04.309","76.06%"
"Mar 30, 2021 @ 09:00:05.309","67.17%"
"Mar 30, 2021 @ 09:00:06.309","68.97%"
"Mar 30, 2021 @ 09:00:07.309","66.26%"
"Mar 30, 2021 @ 09:00:08.309","69.21%"
"Mar 30, 2021 @ 09:00:09.309","79.9%"
"Mar 30, 2021 @ 09:00:10.309","68.56%"
"Mar 30, 2021 @ 09:00:11.309","71.74%"
"Mar 30, 2021 @ 09:00:12.309","68.22%"
"Mar 30, 2021 @ 09:00:13.309","70.59%"
"Mar 30, 2021 @ 09:00:14.309","85.21%"
"Mar 30, 2021 @ 09:00:15.309","73.9%"
"Mar 30, 2021 @ 09:00:16.309","74.75%"
"Mar 30, 2021 @ 09:00:17.309","72.75%"
"Mar 30, 2021 @ 09:00:18.309","69.1%"
"Mar 30, 2021 @ 09:00:19.309","74.63%"
"Mar 30, 2021 @ 09:00:20.309","68.05%"
"Mar 30, 2021 @ 09:00:21.309","70.87%"
"Mar 30, 2021 @ 09:00:22.309","78.38%"
"Mar 30, 2021 @ 09:00:23.309","72.1%"
"Mar 30, 2021 @ 09:00:24.309","73.25%"
"Mar 30, 2021 @ 09:00:25.309","72.06%"
"Mar 30, 2021 @ 09:00:26.309","69.66%"
"Mar 30, 2021 @ 09:00:27.309","82.76%"
"Mar 30, 2021 @ 09:00:28.309","72.79%"
"Mar 30, 2021 @ 09:00:29.309","74.88%"
"Mar 30, 2021 @ 09:00:30.309","70.79%"
"Mar 30, 2021 @ 09:00:31.309","71.29%"
"Mar 30, 2021 @ 09:00:32.309","83.87%"
"Mar 30, 2021 @ 09:00:33.309","78.64%"
"Mar 30, 2021 @ 09:00:34.309","76.23%"
"Mar 30, 2021 @ 09:00:35.309","71.57%"
"Mar 30, 2021 @ 09:00:36.309","78.3%"
"Mar 30, 2021 @ 09:00:37.309","82.5%"
"Mar 30, 2021 @ 09:00:38.309","80.5%"
"Mar 30, 2021 @ 09:00:39.309","73.84%"
"Mar 30, 2021 @ 09:00:40.309","75.49%"
"Mar 30, 2021 @ 09:00:41.309","75.12%"
"Mar 30, 2021 @ 09:00:42.309","77.69%"
"Mar 30, 2021 @ 09:00:43.309","73.33%"
"Mar 30, 2021 @ 09:00:44.309","74.01%"
"Mar 30, 2021 @ 09:00:45.309","77.86%"
"Mar 30, 2021 @ 09:00:46.309","77.92%"
"Mar 30, 2021 @ 09:00:47.309","77.17%"
"Mar 30, 2021 @ 09:00:48.309","72.93%"
"Mar 30, 2021 @ 09:00:49.311","80.98%"
"Mar 30, 2021 @ 09:00:50.309","76.31%"
"Mar 30, 2021 @ 09:00:51.309","80.98%"
"Mar 30, 2021 @ 09:00:52.309","76.98%"
"Mar 30, 2021 @ 09:00:53.309","84.07%"
"Mar 30, 2021 @ 09:00:54.309","74.27%"
"Mar 30, 2021 @ 09:00:55.309","80.49%"
"Mar 30, 2021 @ 09:00:56.309","86.9%"
"Mar 30, 2021 @ 09:00:57.309","86.53%"
"Mar 30, 2021 @ 09:00:58.309","76.87%"
"Mar 30, 2021 @ 09:00:59.309","77.67%"
"Mar 30, 2021 @ 09:01:00.309","75.19%"
"Mar 30, 2021 @ 09:01:01.309","91.21%"
"Mar 30, 2021 @ 09:01:02.309","82.59%"
"Mar 30, 2021 @ 09:01:03.309","79.16%"
"Mar 30, 2021 @ 09:01:04.309","82.34%"
"Mar 30, 2021 @ 09:01:05.309","82.79%"
"Mar 30, 2021 @ 09:01:06.309","79.71%"
"Mar 30, 2021 @ 09:01:07.309","79.25%"
"Mar 30, 2021 @ 09:01:08.310","79.51%"
"Mar 30, 2021 @ 09:01:09.309","83.17%"
"Mar 30, 2021 @ 09:01:10.309","82.88%"
"Mar 30, 2021 @ 09:01:11.309","81.08%"
"Mar 30, 2021 @ 09:01:12.309","80.94%"
"Mar 30, 2021 @ 09:01:13.309","84.79%"
"Mar 30, 2021 @ 09:01:14.309","86.42%"
"Mar 30, 2021 @ 09:01:15.309","84.12%"
"Mar 30, 2021 @ 09:01:16.309","81.34%"
"Mar 30, 2021 @ 09:01:17.309","77.97%"
"Mar 30, 2021 @ 09:01:18.309","77.83%"
"Mar 30, 2021 @ 09:01:19.309","87.19%"
"Mar 30, 2021 @ 09:01:20.309","89%"
"Mar 30, 2021 @ 09:01:21.309","82.54%"
"Mar 30, 2021 @ 09:01:22.309","87.87%"
"Mar 30, 2021 @ 09:01:23.309","81.09%"
"Mar 30, 2021 @ 09:01:24.309","86%"
"Mar 30, 2021 @ 09:01:25.309","91.81%"
"Mar 30, 2021 @ 09:01:26.309","89.83%"
"Mar 30, 2021 @ 09:01:27.309","90.17%"
"Mar 30, 2021 @ 09:01:28.309","83.29%"
"Mar 30, 2021 @ 09:01:29.309","91.5%"
"Mar 30, 2021 @ 09:01:30.309","84.89%"
"Mar 30, 2021 @ 09:01:31.309","94.5%"
"Mar 30, 2021 @ 09:01:32.309","99.75%"
"Mar 30, 2021 @ 09:01:33.309","98.5%"
"Mar 30, 2021 @ 09:01:34.309","95%"
"Mar 30, 2021 @ 09:01:35.309","86.55%"
"Mar 30, 2021 @ 09:01:36.309","85.93%"
"Mar 30, 2021 @ 09:01:37.309","86.49%"
"Mar 30, 2021 @ 09:01:38.309","80.05%"
"Mar 30, 2021 @ 09:01:39.309","93.27%"
"Mar 30, 2021 @ 09:01:40.309","91.75%"
"Mar 30, 2021 @ 09:01:41.309","84.04%"
"Mar 30, 2021 @ 09:01:42.309","85.93%"
"Mar 30, 2021 @ 09:01:43.309","85.86%"
"Mar 30, 2021 @ 09:01:44.309","88.28%"
"Mar 30, 2021 @ 09:01:45.309","96.46%"
"Mar 30, 2021 @ 09:01:46.309","88.72%"
"Mar 30, 2021 @ 09:01:47.309","89.11%"
"Mar 30, 2021 @ 09:01:48.309","84.5%"
"Mar 30, 2021 @ 09:01:49.309","88.64%"
"Mar 30, 2021 @ 09:01:50.309","94.26%"
"Mar 30, 2021 @ 09:01:51.309","98.75%"
"Mar 30, 2021 @ 09:01:52.309","100%"
"Mar 30, 2021 @ 09:01:53.309","100%"
"Mar 30, 2021 @ 09:01:54.309","100%"
"Mar 30, 2021 @ 09:01:55.309","100%"
"Mar 30, 2021 @ 09:01:56.309","100%"
"Mar 30, 2021 @ 09:01:57.309","100%"
"Mar 30, 2021 @ 09:01:58.309","100%"
"Mar 30, 2021 @ 09:01:59.309","100%"
"Mar 30, 2021 @ 09:02:00.309","100%"
"Mar 30, 2021 @ 09:02:01.309","100%"
"Mar 30, 2021 @ 09:02:02.309","100%"
"Mar 30, 2021 @ 09:02:03.309","100%"
"Mar 30, 2021 @ 09:02:04.309","100%"
"Mar 30, 2021 @ 09:02:05.309","100%"
"Mar 30, 2021 @ 09:02:06.309","100%"
