"@timestamp","system.cpu.total.norm.pct"
"Mar 29, 2021 @ 15:52:39.240","0%"
"Mar 29, 2021 @ 15:52:40.240","33.5%"
"Mar 29, 2021 @ 15:52:41.240","43.41%"
"Mar 29, 2021 @ 15:52:42.241","56.62%"
"Mar 29, 2021 @ 15:52:43.240","72.07%"
"Mar 29, 2021 @ 15:52:44.240","52.52%"
"Mar 29, 2021 @ 15:52:45.240","87.34%"
"Mar 29, 2021 @ 15:52:46.240","75.89%"
"Mar 29, 2021 @ 15:52:47.240","77.48%"
"Mar 29, 2021 @ 15:52:48.240","87.82%"
"Mar 29, 2021 @ 15:52:49.240","75.65%"
"Mar 29, 2021 @ 15:52:50.240","95.74%"
"Mar 29, 2021 @ 15:52:51.243","91.73%"
"Mar 29, 2021 @ 15:52:52.240","97.46%"
"Mar 29, 2021 @ 15:52:53.240","97.24%"
"Mar 29, 2021 @ 15:52:54.240","93.86%"
"Mar 29, 2021 @ 15:52:55.240","93.42%"
"Mar 29, 2021 @ 15:52:56.240","95.37%"
"Mar 29, 2021 @ 15:52:57.240","93.86%"
"Mar 29, 2021 @ 15:52:58.240","94.19%"
"Mar 29, 2021 @ 15:52:59.240","93.57%"
"Mar 29, 2021 @ 15:53:00.240","94.47%"
"Mar 29, 2021 @ 15:53:01.240","95.2%"
"Mar 29, 2021 @ 15:53:02.240","96.46%"
"Mar 29, 2021 @ 15:53:03.240","98.75%"
"Mar 29, 2021 @ 15:53:04.240","98.99%"
"Mar 29, 2021 @ 15:53:05.240","99.25%"
"Mar 29, 2021 @ 15:53:06.240","99.5%"
"Mar 29, 2021 @ 15:53:07.240","100%"
"Mar 29, 2021 @ 15:53:08.240","99.5%"
"Mar 29, 2021 @ 15:53:09.242","99.75%"
"Mar 29, 2021 @ 15:53:10.240","99.5%"
"Mar 29, 2021 @ 15:53:11.240","99.5%"
"Mar 29, 2021 @ 15:53:12.240","99.75%"
"Mar 29, 2021 @ 15:53:13.240","100%"
"Mar 29, 2021 @ 15:53:14.240","100%"
"Mar 29, 2021 @ 15:53:15.240","99.75%"
"Mar 29, 2021 @ 15:53:16.240","100%"
"Mar 29, 2021 @ 15:53:17.240","99.75%"
"Mar 29, 2021 @ 15:53:18.240","100%"
"Mar 29, 2021 @ 15:53:19.241","100%"
"Mar 29, 2021 @ 15:53:20.240","99.75%"
"Mar 29, 2021 @ 15:53:21.240","100%"
"Mar 29, 2021 @ 15:53:22.242","100%"
"Mar 29, 2021 @ 15:53:23.240","100%"
"Mar 29, 2021 @ 15:53:24.240","100%"
"Mar 29, 2021 @ 15:53:25.240","100%"
"Mar 29, 2021 @ 15:53:26.240","99.75%"
"Mar 29, 2021 @ 15:53:27.240","100%"
"Mar 29, 2021 @ 15:53:28.240","100%"
"Mar 29, 2021 @ 15:53:29.240","100%"
"Mar 29, 2021 @ 15:53:30.240","100%"
"Mar 29, 2021 @ 15:53:31.240","99.75%"
"Mar 29, 2021 @ 15:53:32.240","100%"
"Mar 29, 2021 @ 15:53:33.240","100%"
"Mar 29, 2021 @ 15:53:34.240","100%"
"Mar 29, 2021 @ 15:53:35.242","100%"
"Mar 29, 2021 @ 15:53:36.240","100%"
"Mar 29, 2021 @ 15:53:37.240","99.75%"
"Mar 29, 2021 @ 15:53:38.240","100%"
"Mar 29, 2021 @ 15:53:39.240","100%"
"Mar 29, 2021 @ 15:53:40.240","100%"
"Mar 29, 2021 @ 15:53:41.240","100%"
"Mar 29, 2021 @ 15:53:42.240","100%"
"Mar 29, 2021 @ 15:53:43.240","100%"
"Mar 29, 2021 @ 15:53:44.240","100%"
"Mar 29, 2021 @ 15:53:45.240","100%"
"Mar 29, 2021 @ 15:53:46.240","100%"
"Mar 29, 2021 @ 15:53:47.240","100%"
"Mar 29, 2021 @ 15:53:48.240","100%"
"Mar 29, 2021 @ 15:53:49.240","100%"
"Mar 29, 2021 @ 15:53:50.240","99.75%"
"Mar 29, 2021 @ 15:53:51.240","100%"
"Mar 29, 2021 @ 15:53:52.240","100%"
"Mar 29, 2021 @ 15:53:53.240","100%"
"Mar 29, 2021 @ 15:53:54.240","100%"
"Mar 29, 2021 @ 15:53:55.240","100%"
