"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 31, 2021 @ 16:57:42.263","88.02%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:38.897","90.98%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:37.263","87.93%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:33.897","86.95%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:32.263","89.88%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:28.897","84.37%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:27.263","91.58%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:23.897","83.46%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:22.263","86.23%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:18.897","86.61%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:17.263","87.19%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:13.897","83.3%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:12.263","84.1%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:08.897","83.47%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:07.263","74.9%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:57:03.897","89.1%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:57:02.263","66.54%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:58.897","85.51%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:57.263","67.3%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:53.897","84.79%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:52.263","68.06%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:48.897","78.9%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:47.263","71.5%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:43.897","65.38%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:42.263","79.24%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:38.897","54.35%","ip-172-31-2-90"
