timestamp,event
"Mar 24, 2021 @ 10:03:42.667",participantJoined
"Mar 24, 2021 @ 10:03:47.529",participantJoined
"Mar 24, 2021 @ 10:03:52.576",participantJoined
"Mar 24, 2021 @ 10:03:58.353",participantJoined
"Mar 24, 2021 @ 10:05:18.621",participantJoined
"Mar 24, 2021 @ 10:05:26.736",participantJoined
"Mar 24, 2021 @ 10:05:35.361",participantJoined
"Mar 24, 2021 @ 10:05:44.186",participantJoined
"Mar 24, 2021 @ 10:05:54.699",participantJoined
"Mar 24, 2021 @ 10:03:16.992",participantJoined
"Mar 24, 2021 @ 10:03:21.680",participantJoined
"Mar 24, 2021 @ 10:03:26.490",participantJoined
"Mar 24, 2021 @ 10:03:31.295",participantJoined
"Mar 24, 2021 @ 10:03:32.937",participantJoined
"Mar 24, 2021 @ 10:03:37.925",participantJoined
"Mar 24, 2021 @ 10:04:04.882",participantJoined
"Mar 24, 2021 @ 10:04:10.075",participantJoined
"Mar 24, 2021 @ 10:04:28.468",participantJoined
"Mar 24, 2021 @ 10:04:35.782",participantJoined
"Mar 24, 2021 @ 10:04:41.573",participantJoined
"Mar 24, 2021 @ 10:04:48.281",participantJoined
"Mar 24, 2021 @ 10:04:55.431",participantJoined
"Mar 24, 2021 @ 10:04:15.450",participantJoined
"Mar 24, 2021 @ 10:04:21.441",participantJoined
"Mar 24, 2021 @ 10:05:03.339",participantJoined
"Mar 24, 2021 @ 10:05:12.119",participantJoined
