timestamp,event
"Mar 24, 2021 @ 10:07:20.593",participantJoined
"Mar 24, 2021 @ 10:07:15.666",participantJoined
"Mar 24, 2021 @ 10:07:45.990",participantJoined
"Mar 24, 2021 @ 10:07:48.636",participantJoined
"Mar 24, 2021 @ 10:08:22.234",participantJoined
"Mar 24, 2021 @ 10:07:25.274",participantJoined
"Mar 24, 2021 @ 10:07:35.007",participantJoined
"Mar 24, 2021 @ 10:07:30.096",participantJoined
"Mar 24, 2021 @ 10:07:40.214",participantJoined
"Mar 24, 2021 @ 10:07:56.210",participantJoined
"Mar 24, 2021 @ 10:08:07.959",participantJoined
"Mar 24, 2021 @ 10:08:01.773",participantJoined
"Mar 24, 2021 @ 10:08:14.566",participantJoined
"Mar 24, 2021 @ 10:08:39.800",participantJoined
"Mar 24, 2021 @ 10:08:31.233",participantJoined
